3,3,1,0,0,0,0,0,0,0,0,0,1
UBAT0010,00056,1.48E7,2.210E+08,1171,11.903,0,0.632,43,1.12,12,14,13,13,13,12,11,9,12,13,10,10,10,9,10,8,6,5,11,16,15,14,12,11,11,8,7,8,14,12,11,12,8,6,6,6,5,5,3,2,2,5,7,6,8,15,17,12,10,9,6,4,4,4,3,3,5,3,2,5
UBAT0010,00057,1.48E7,1.277E+08,1164,11.903,0,0.631,43,1.14,7,9,21,37,55,47,16,7,5,2,0,1,1,1,0,0,2,2,0,1,0,0,2,1,2,0,1,2,0,0,0,0,0,0,1,3,1,0,0,1,0,0,2,5,3,4,6,8,4,4,4,4,1,0,1,1,0,0,0,1
UBAT0010,00058,1.48E7,6.709E+07,1162,11.916,0,0.631,43,1.16,3,4,3,2,1,1,0,3,7,7,6,5,5,5,4,4,4,3,3,3,1,2,3,0,2,1,1,1,2,3,1,0,0,0,1,1,0,0,1,1,0,1,0,2,2,0,0,0,2,1,1,1,0,3,3,0,1,2,2,1
UBAT0010,00059,1.48E7,2.811E+07,1156,11.895,0,0.631,43,1.15,1,2,1,0,1,1,0,0,0,1,0,0,0,0,4,2,1,0,0,2,2,3,3,1,0,0,3,1,0,1,7,8,7,9,10,7,5,4,3,2,2,1,0,0,0,0,0,0,1,1,2,1,3,0,2,1,1,0,0,3
UBAT0010,00060,1.48E7,2.688E+07,1158,11.902,0,0.631,43,1.15,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,1,1,1,2,1,2,3,2,1,0,1,1,1,0,1,0,0,2,2,2,10,16,13,7,5,6,4,4,2,1,1,6,7,6,5,4,0,0,1,3,2,1,2,2
UBAT0010,00061,1.48E7,3.379E+07,1157,11.901,0,0.631,43,1.13,0,0,0,0,0,0,1,1,2,1,1,1,0,7,19,19,17,10,6,5,5,3,2,3,1,3,0,2,2,3,1,0,0,1,3,1,0,1,2,2,0,0,0,0,0,2,1,0,1,1,1,1,2,2,3,1,1,0,1,5
UBAT0010,00062,1.48E7,3.650E+07,1158,11.908,0,0.631,43,1.12,1,0,0,0,0,1,3,2,3,4,6,12,11,9,7,4,3,3,2,1,4,5,8,6,3,0,0,0,0,1,0,3,2,0,0,2,5,5,4,2,0,0,2,2,1,1,0,2,0,1,3,2,0,2,1,1,3,3,0,0
UBAT0010,00063,1.48E7,3.576E+07,1159,11.903,0,0.632,43,1.13,0,0,0,0,0,0,3,3,0,0,2,2,2,3,2,2,6,11,10,6,5,3,3,2,2,3,0,0,0,1,1,1,1,2,2,2,3,2,0,1,0,0,1,1,0,0,0,0,0,1,1,0,2,2,2,3,0,0,0,1
UBAT0010,00064,1.48E7,2.491E+07,1159,11.896,0,0.632,43,1.15,1,2,0,1,0,0,1,1,2,6,4,2,1,2,0,1,2,2,3,1,2,3,3,4,3,1,0,3,3,4,9,18,18,14,9,6,5,1,3,2,1,2,1,2,1,0,0,0,0,1,1,2,0,0,1,0,0,1,0,0
UBAT0010,00065,1.48E7,3.823E+07,1158,11.896,0,0.632,43,1.15,0,1,1,1,1,1,0,0,0,0,0,0,0,0,3,17,26,27,28,24,19,16,14,13,21,52,67,58,41,30,23,18,20,50,64,49,32,26,20,17,19,18,17,14,14,10,9,8,7,6,6,3,3,5,4,2,2,1,3,1
UBAT0010,00066,1.48E7,2.298E+08,1160,11.904,0,0.632,43,1.12,0,1,0,0,5,35,142,124,104,90,82,78,74,73,68,72,79,80,74,51,19,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,1,0,0,0,2,1,2,1,1,2,0,0,1,2,1,2,1
UBAT0010,00067,1.48E7,3.164E+08,1163,11.904,0,0.631,43,1.12,0,1,0,1,2,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,2,3,3,0,1,0,0,0,0,0,0,0,0,0,2
UBAT0010,00068,1.48E7,8.139E+06,1158,11.905,0,0.631,43,1.13,2,0,0,0,2,1,7,13,28,54,51,42,34,31,27,24,27,41,54,71,105,134,140,137,128,127,125,111,89,72,56,45,40,35,31,38,34,20,10,7,6,2,3,2,3,2,2,2,2,0,1,0,0,0,2,0,0,0,1,0
UBAT0010,00069,1.48E7,4.980E+08,1163,11.901,0,0.631,43,1.13,0,0,0,0,0,0,0,0,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,7,1,5,32,103,165,169,145,113,85,66,53,44,34,27,23,19,18,17,15,11,12,11,12,13,9,7,11,11,11,10,8
UBAT0010,00070,1.48E7,3.184E+08,1171,11.903,0,0.632,43,1.15,5,9,10,7,6,6,11,83,274,414,506,548,461,316,188,105,59,34,21,14,11,8,8,7,8,27,41,36,26,19,13,11,10,7,7,5,2,3,4,6,4,3,5,11,25,30,24,19,14,12,7,6,6,5,3,4,5,6,4,7
UBAT0010,00071,1.48E7,8.729E+08,1169,11.903,0,0.632,43,1.15,8,5,3,1,3,4,1,1,2,0,0,2,2,1,2,1,5,3,1,0,0,0,2,2,1,1,1,2,2,3,1,2,5,26,47,46,32,20,12,9,5,4,5,4,3,3,0,0,2,4,3,1,3,4,4,4,3,4,5,4
UBAT0010,00072,1.48E7,7.868E+07,1163,11.903,0,0.631,43,1.12,3,2,2,2,1,2,0,0,1,2,2,3,3,0,0,0,0,1,1,2,9,11,12,9,7,5,4,2,1,0,0,1,2,1,0,0,0,1,0,0,2,1,0,1,2,2,3,0,0,2,1,1,0,2,1,1,2,2,0,0
UBAT0010,00073,1.48E7,2.762E+07,1163,11.898,0,0.631,43,1.12,0,1,0,1,0,3,6,7,7,3,2,4,2,2,2,2,0,0,1,3,1,1,0,0,1,2,0,0,2,1,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0
UBAT0010,00074,1.48E7,1.652E+07,1168,11.906,0,0.631,43,1.11,0,1,3,2,0,0,0,2,13,18,13,11,16,31,29,17,12,13,30,87,152,176,170,143,116,96,78,63,57,56,54,48,39,34,34,25,12,7,6,7,5,6,5,3,1,2,2,1,2,1,2,2,2,2,2,0,2,1,5,6
UBAT0010,00075,1.48E7,4.262E+08,1163,11.916,0,0.631,43,1.13,5,5,4,3,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,7,10,14,15,13,11,9,9,7,7,7,5,5,4,3,3,3,0,0,0,0
UBAT0010,00076,1.48E7,3.946E+07,1158,11.910,0,0.631,43,1.13,0,0,0,0,1,2,0,0,0,0,2,0,3,5,4,0,0,10,32,49,52,42,35,28,21,14,11,7,3,10,19,14,9,7,4,1,2,2,1,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0
UBAT0010,00077,1.48E7,9.866E+07,1150,11.903,0,0.630,43,1.15,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,1,3,2,2,0,0,1,1,1,0,0,0,1,0,0,0,2,3,0,0,0,0,1,0,1,0,1,4
UBAT0010,00078,1.48E7,9.373E+06,1148,11.902,0,0.631,43,1.12,1,0,0,0,0,1,0,0,0,1,4,4,4,3,2,1,0,0,0,1,1,0,0,0,0,3,2,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,1,1,2,1,0,1,2,0,0,0,0,0,0,0,0,2,2,1
UBAT0010,00079,1.48E7,1.208E+07,1154,11.901,0,0.631,43,1.12,3,0,1,0,3,0,0,1,0,0,0,2,2,0,0,0,0,2,1,2,7,7,7,7,5,3,5,13,23,24,20,18,17,14,10,7,6,5,2,2,2,2,3,4,3,4,2,1,3,3,1,0,1,0,1,0,0,1,1,0
UBAT0010,00080,1.48E7,6.141E+07,1164,11.902,0,0.631,43,1.12,1,1,0,3,0,1,0,0,1,0,2,6,2,1,2,2,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,3,3,3,1,0,6,17,10,2,1,2,1,3,9,12,14,12,12,12,9,10,10,8
